ido_id,launchpad_id,project_id,blockchain,ido_start_date,ido_end_date,ath_date,days_to_reach_ath,raised_by_ido,total_raised
122,3,122,Ethereum,2021-04-08,2021-04-08,2021-04-08,0,100000,1980000
123,3,123,BNB,2021-11-21,2021-11-21,2021-11-22,1,150000,1600000
124,3,124,BNB,2021-10-12,2021-10-12,2021-11-13,32,150000,550000
125,3,46,Ethereum,2021-06-02,2021-06-02,2021-10-18,138,200000,2700000
126,3,125,Ethereum,2021-12-14,2021-12-14,2021-12-31,17,200000,9870000
127,3,126,Ethereum,2021-03-01,2021-03-01,2021-03-03,2,125000,1900000
128,3,127,Ethereum,2021-11-30,2021-11-30,2021-12-07,7,250000,375000
129,3,128,Ethereum,2021-05-27,2021-05-27,2021-06-06,10,200000,4280000
130,3,129,Ethereum,2021-04-04,2021-04-04,2021-04-11,7,750000,12830000
131,3,130,Polygon,2022-01-03,2022-01-04,2022-01-12,8,500000,6500000
132,3,131,Ethereum,2021-04-22,2021-04-22,2021-11-14,206,210000,420000
133,3,132,BNB,2021-09-15,2021-09-15,2021-10-08,23,80000,405850
134,3,133,BNB,2021-12-08,2021-12-08,2021-12-22,14,300000,599980
135,3,134,BNB,2021-08-05,2021-08-05,2021-08-21,16,150000,150000
136,3,135,Avalanche,2021-05-02,2021-05-02,2021-05-04,2,100000,1100000
137,3,136,BNB,2021-06-17,2021-06-17,2021-08-09,53,100000,1420000
138,3,72,Ethereum,2021-05-05,2021-05-05,2021-05-05,0,100000,2110000
139,3,137,BNB,2022-01-11,2022-01-11,2022-01-25,14,142500,462500
140,3,138,BNB,2021-10-21,2021-10-21,2021-10-24,3,200000,2300000
141,3,76,Ethereum,2021-05-09,2021-05-09,2021-11-23,198,200000,1800000
142,3,139,Solana,2021-12-02,2021-12-02,2021-12-12,10,300000,3700000
143,3,140,Polygon,2022-01-27,2022-01-27,2022-01-31,4,400000,18830000
144,3,141,BNB,2021-08-29,2021-08-29,2021-09-01,3,150000,150000
145,3,142,BNB,2021-08-09,2021-08-09,2021-08-10,1,150000,485000
146,3,143,Ethereum,2021-05-16,2021-05-16,2021-05-17,1,500000,1500000
147,3,144,Ethereum,2022-04-27,2022-04-24,2022-05-11,17,400000,1000000
