ido_id,launchpad_id,project_id,blockchain,ido_start_date,ido_end_date,ath_date,days_to_reach_ath,raised_by_ido,total_raised
337,5,315,Ethereum,2022-06-14,2022-06-14,2022-06-22,8,24000,6160000
338,5,316,Ethereum,2021-08-01,2021-08-01,2021-09-01,31,84380,9800000
339,5,166,BNB,2021-07-05,2021-07-05,2021-10-05,92,90000,664000
340,5,317,BNB,2021-12-07,2021-12-07,2021-12-08,1,125000,1880000
341,5,318,BNB,2021-05-09,2021-05-09,2021-11-19,194,90000,2100000
342,5,319,BNB,2021-07-04,2021-07-04,2021-11-12,131,112500,212500
343,5,320,BNB,2021-07-28,2021-07-28,2021-07-28,0,200000,1610000
344,5,107,Ethereum,2021-06-15,2021-06-15,2021-08-17,63,125000,3960000
345,5,321,BNB,2021-06-13,2021-06-13,2021-12-05,175,90000,837500
346,5,322,BNB,2021-09-15,2021-09-15,2021-10-02,17,0,198000
347,5,323,BNB,2022-01-13,2022-01-13,2022-01-15,2,300060,2070000
348,5,324,Ethereum,2021-08-12,2021-08-13,2021-09-08,26,800000,1690000
349,5,176,Polygon,2022-04-20,2022-04-20,2022-04-20,0,335000,1230000
350,5,325,Cardano,2022-03-20,2022-03-20,2022-03-24,4,370000,1950000
351,5,326,BNB,2021-07-18,2021-07-18,2021-07-25,7,250000,2090000
352,5,327,BNB,2021-05-17,2021-05-17,2021-05-27,10,445000,3250000
353,5,328,Ethereum,2021-06-04,2021-06-04,2021-06-06,2,250000,500000
354,5,180,BNB,2021-06-14,2021-06-14,2021-08-24,71,200000,600000
355,5,329,Cardano,2022-03-13,2022-03-13,2022-03-23,10,350000,6020000
356,5,330,BNB,2022-03-21,2022-03-21,2022-03-27,6,200000,275000
357,5,331,Ethereum,2022-01-10,2022-01-10,2022-05-06,116,300000,2400000
358,5,332,BNB,2021-08-29,2021-08-29,2021-09-03,5,1000000,1000000
359,5,333,Ethereum,2021-11-18,2021-11-18,2021-11-21,3,1500000,3500000
360,5,334,BNB,2021-05-05,2021-05-06,2021-08-24,110,450000,5750000
361,5,335,BNB,2021-07-06,2021-07-06,2021-12-06,153,113400,914400
362,5,186,Ethereum,2021-06-09,2021-06-09,2021-08-14,66,300000,600000
363,5,336,BNB,2021-06-22,2021-06-22,2021-08-14,53,200000,200000
