,Launchpad,Project Name,Ticker Symbol,Blockchain,Cross-Chain,Category,Sub-Category,Market Cap,Market Cap (modified),Volume 24 hr,Volume 24 hr (modified),TGE ROI,TGE ROI (modified),TGE Mod 2 (Add 1),ATH TGE ROI,ATH TGE ROI (modified),ATH TGE mod 2 (add 1),Raise by Launchpad,Raise by Launchpad (modified),Total Raise ,Total Raise (modified),IDO Start Date,IDO End Date,ATH Date,Days to reach ATH,Status
,BSCPad,Xion,XGT,BNB,NO,DeFi,"bnb chain ecosystem, yield farming, cross-chain",0,0,$ 6.30K,6300,0.04x,0.04,1.04,0.92x,0.92,1.92,$ 113.40K,113400,$ 914.40K,914400,7/6/2021,7/6/2021,12/6/2021,153,ACTIVE
,BSCPad,Demodyfi,DMOD,Ethereum,NO,DeFi,yield aggregator,$ 61.71K,61710,0,0,0.03x,0.03,1.03,0.89x,0.89,1.89,$ 300.00K,300000,$ 600.00K,600000,6/9/2021,6/9/2021,8/14/2021,66,INACTIVE
,BSCPad,PolkaTrail,TRAIL,BNB,NO,DeFi,"nft, travel",0,0,0,0,0.00x,0.00,1,0.36x,0.36,1.36,$ 200.00K,200000,$ 200.00K,200000,6/22/2021,6/22/2021,8/14/2021,53,ACTIVE
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
