Project id,Launchpad,Project Name,Ticker Symbol,Blockchain,Category,Sub-Category,Market Cap,Market Cap (modified),Volume 24 hr,Volume 24 hr (modified),TGE ROI,TGE ROI (modified),TGE Mod 2 (Add 1),ATH TGE ROI,ATH TGE ROI (modified),ATH TGE mod 2 (add 1),Raise by Launchpad,Raise by Launchpad (modified),Total Raise ,Total Raise (modified),IDO Start Date,IDO End Date,ATH Date,Days to reach ATH,Status
57,Polkastarter,Vera,VERA,"Ethereum, BNB",NFT,"marketplace, staking, loan, cross-chain",$ 344.88K,344880,$ 41.80K,41800,0.69x,0.69,1.69,13.52x,13.52,14.52,$ 500.00K,500000,$ 3.53M,3530000,9/20/2021,9/22/2021,11/10/2021,49,ACTIVE
58,Polkastarter,Happy Land,HPL,BNB,GameFi,"metaverse, nft, play to earn",$ 68.10K,68100,$406.87 ,406.87,0.09x,0.09,1.09,13.21x,13.21,14.21,$ 300.00K,300000,$ 3.27M,3270000,12/9/2021,12/9/2021,12/10/2021,1,ACTIVE
59,Polkastarter,Polytrade,TRADE,"Ethereum, Polygon",DeFi,"polygon ecosystem, marketplace, staking, governance, lending/borrowing",$ 1.55M,1550000,$ 790.54K,790540,0.86x,0.86,1.86,13.07x,13.07,14.07,$ 200.00K,200000,$ 1.71M,1710000,8/17/2021,8/17/2021,11/27/2021,102,ACTIVE
60,Polkastarter,Fractal,FCL,Ethereum,Blockchain Service,"data service, privacy, digital identity",$ 3.64M,3640000,$ 61.63K,61630,0.30x,0.30,1.3,13.00x,13.00,14,$ 400.00K,400000,$ 2.60M,2600000,2/24/2021,2/24/2021,3/12/2021,16,ACTIVE
61,Polkastarter,Konomi Network,KONO,Ethereum,DeFi,"polkadot ecosystem, governance, staking",$ 1.38M,1380000,$ 139.14K,139140,0.09x,0.09,1.09,12.93x,12.93,13.93,$ 200.00K,200000,$ 5.20M,5200000,3/14/2021,3/15/2021,3/16/2021,1,ACTIVE
62,Polkastarter,DOSE,DOSE,"Ethereum, BNB",GameFi,"metaverse, nft, sports, collectibles, bnb chain ecosystem, play to earn, move to earn",$ 4.45M,4450000,$ 705.65K,705650,0.50x,0.50,1.5,12.54x,12.54,13.54,$ 500.00K,500000,$ 600.00K,600000,11/1/2021,11/2/2021,12/1/2021,29,ACTIVE
63,Polkastarter,Lithium Finance,LITH,Ethereum,DeFi,"oracle, staking, smart contract platform",$ 4.59M,4590000,$ 89.18K,89180,0.38x,0.38,1.38,12.08x,12.08,13.08,$ 200.00K,200000,$ 8.19M,8190000,8/4/2021,8/4/2021,8/13/2021,9,ACTIVE
64,Polkastarter,Standard Protocol,STND,Ethereum,Blockchain Service,"polkadot ecosystem, amm, oracle, governance, staking, yield farming",$ 2.34M,2340000,$ 772.66K,772660,0.33x,0.33,1.33,11.99x,11.99,12.99,$ 325.00K,325000,$ 2.58M,2580000,4/28/2021,4/28/2021,5/13/2021,15,ACTIVE
65,Polkastarter,Realm,REALM,"Ethereum, BNB",GameFi,"cross-chain, bnb chain ecosystem, polygon ecosystem, nft, metaverse, play to earn, staking, governance",$ 5.60M,5600000,$ 206.83K,206830,0.18x,0.18,1.18,11.86x,11.86,12.86,$ 225.00K,225000,$ 3.15M,3150000,9/13/2021,9/13/2021,11/24/2021,72,ACTIVE
66,Polkastarter,Blockchain Cuties Universe,BCUG,Ethereum,DeFi,"marketplace, dapp, nft, governance, tron ecosystem, play to earn, collectibles",$ 98.26K,98260,$ 15.62K,15620,0.06x,0.06,1.06,11.30x,11.30,12.3,$ 440.00K,440000,$ 440.00K,440000,3/14/2021,3/14/2021,3/16/2021,2,ACTIVE
67,Polkastarter,Royale Finance,ROYA,"Ethereum, BNB",DeFi,"cross-chain, metaverse",$ 156.73K,156730,$ 2.91K,2910,0.03x,0.03,1.03,10.61x,10.61,11.61,$ 300.00K,300000,$ 1.45M,1450000,12/20/2020,1/7/2021,3/13/2021,65,ACTIVE
68,Polkastarter,Ethermon,EMON,"Ethereum, Polygon",GameFi,"marketplace, staking, nft, play to earn, polygon ecosystem, metaverse, collectibles",$ 413.07K,413070,$ 29.63K,29630,0.06x,0.06,1.06,10.28x,10.28,11.28,$ 200.00K,200000,$ 2.10M,2100000,5/17/2021,5/17/2021,5/17/2021,0,ACTIVE
