Project id,Launchpad,Project Name,Ticker Symbol,Blockchain,Category,Sub-Category,Market Cap,Market Cap (modified),Volume 24 hr,Volume 24 hr (modified),TGE ROI,TGE ROI (modified),TGE Mod 2 (add +1),ATH TGE ROI,ATH TGE ROI (modified),ATH TGE mod 2 (add 1),Raise by Launchpad,Raise by Launchpad (modified),Total Raise ,Total Raise (modified),IDO Start Date,IDO End Date,ATH Date,Days to reach ATH,Status
11,DAO Maker,OpenPredict Token,OPT,Ethereum,DeFi,"assets, artificial intelligence",$ 93.65K,93650,0,0,0.55x,0.55,1.55,77.45x,77.45,78.45,$ 250.00K,250000,$ 250.00K,250000,8/14/2020,8/16/2020,2/16/2021,184,INACTIVE
12,DAO Maker,Hord,HORD,"Ethereum, BNB",DeFi,"governance, staking, yield farming",$ 1.12M,1120000,$ 163.70K,163700,0.51x,0.51,1.51,72.02x,72.02,73.02,$ 145.00K,145000,$ 2.17M,2170000,4/19/2021,4/21/2021,5/11/2021,20,ACTIVE
13,DAO Maker,Solice,SLC,Solana,GameFi,"VR/AR, play to earn, solana ecosystem, metaverse",$ 2.66M,2660000,$ 115.08K,115080,0.88x,0.88,1.88,70.71x,70.71,71.71,$ 95.00K,95000,$ 4.99M,4990000,12/15/2021,12/16/2021,1/15/2022,30,ACTIVE
14,DAO Maker,Gold Fever,NGL,"Ethereum, BNB",GameFi,"bnb chain ecosystem, nft",$ 2.72M,2720000,$ 146.28K,146280,1.75x,1.75,2.75,69.55x,69.55,70.55,$ 110.00K,110000,$ 4.29M,4290000,9/1/2021,9/8/2021,12/2/2021,85,ACTIVE
15,DAO Maker,Bemil,BEM,BNB,GameFi,"play to earn, nft",$ 26.12K,26120,$936.91 ,936.91,0.03x,0.03,1.03,64.05x,64.05,65.05,$ 100.00K,100000,$ 1.94M,1940000,11/6/2021,11/7/2021,11/24/2021,17,ACTIVE
16,DAO Maker,Clearpool,CPOOL,Ethereum,DeFi,"lending/borrowing, loan",$ 3.51M,3510000,$ 793.80K,793800,1.06x,1.06,2.06,63.17x,63.17,64.17,$ 100.00K,100000,$ 3.17M,3170000,10/25/2021,10/26/2021,11/15/2021,20,ACTIVE
17,DAO Maker,Numbers Protocol,NUM,"Ethereum, BNB",Blockchain Service,"nft, staking, governance, bnb chain ecosystem, cross-chain, social media",$ 8.34M,8340000,$ 1.73M,1730000,1.37x,1.37,2.37,62.91x,62.91,63.91,$ 1.20M,1200000,$ 6.56M,6560000,11/9/2021,11/11/2021,11/27/2021,16,ACTIVE
18,DAO Maker,DAFI Protocol,DAFI,Ethereum,DeFi,"staking, governance, dapp, polygon ecosystem, sythetic assets, derivatives",$ 1.83M,1830000,$ 261.26K,261260,0.96x,0.96,1.96,61.80x,61.80,62.8,$ 150.00K,150000,$ 1.05M,1050000,3/1/2021,3/10/2021,3/18/2021,8,ACTIVE
19,DAO Maker,EPIK Prime,EPIK,"Ethereum, BNB",GameFi,"Governance, collectibles",$ 4.89M,4890000,$ 527.62K,527620,1.00x,1.00,2,61.15x,61.15,62.15,$ 180.00K,180000,$ 4.47M,4470000,5/22/2021,5/29/2021,11/23/2021,178,ACTIVE
20,DAO Maker,Seascape Crowns,CWS,"Ethereum, BNB",DeFi,"staking, nft, bnb chain ecosystem, collectibles, cross-chain, dex, launchpad",$ 2.43M,2430000,$ 622.30K,622300,0.75x,0.75,1.75,60.65x,60.65,61.65,$ 60.00K,60000,$ 764.00K,764000,1/24/2021,1/26/2021,3/15/2021,48,ACTIVE
21,DAO Maker,Ftribe Fighters,F2C,BNB,GameFi,"bnb chain ecosystem, play to earn, nft, metaverse",$ 242.45K,242450,$ 7.91K,7910,0.23x,0.23,1.23,51.85x,51.85,52.85,$ 95.00K,95000,$ 3.39M,3390000,12/19/2021,12/20/2021,1/4/2022,15,ACTIVE
22,DAO Maker,Titan Hunters,TITA,BNB,GameFi,"bnb chain ecosystem, metaverse, nft, play to earn",$ 196.25K,196250,$ 69.58K,69580,0.42x,0.42,1.42,49.80x,49.80,50.8,$ 100.00K,100000,$ 2.28M,2280000,11/15/2021,11/17/2021,11/24/2021,7,ACTIVE
23,DAO Maker,Orion Money,ORION,"Ethereum, BNB",DeFi,"yield farming, cross-chain, bnb chain ecosystem, terra ecosystem",$ 220.74K,220740,$ 8.32K,8320,0.05x,0.05,1.05,47.10x,47.10,48.1,$ 450.00K,450000,$ 5.10M,5100000,9/26/2021,9/27/2021,10/14/2021,17,ACTIVE
24,DAO Maker,LaunchX,LNCHX,BNB,DeFi,"cross-chain, launchpad",$ 1.00M,1000000,0,0,0.91x,0.91,1.91,45.80x,45.80,46.8,$ 170.00K,170000,$ 1.38M,1380000,5/13/2021,5/16/2021,5/16/2021,0,INACTIVE
25,DAO Maker,DinoX,DNXC,"BNB, Ethereum, Polygon",GameFi,"polygon ecosystem, staking, metaverse, marketplace, nft, play to earn",$ 2.01M,2010000,$ 8.97K,8970,0.82x,0.82,1.82,44.36x,44.36,45.36,$ 200.00K,200000,$ 1.32M,1320000,7/25/2021,7/25/2021,8/5/2021,11,ACTIVE
26,DAO Maker,Gamestarter,GAME,"Ethereum, BNB",DeFi,"nft, launchpad",$ 5.03M,5030000,$ 94.56K,94560,1.25x,1.25,2.25,42.94x,42.94,43.94,$ 340.00K,340000,$ 2.39M,2390000,8/1/2021,8/1/2021,12/4/2021,125,ACTIVE
